NO,NAMA GARDU,SITE,Tanggal pekerjaan,Jenis Gangguan,Penyebab,SOLUSI,ZONA,Merk Modem,Sim Card 1,Sim Card 2,Sebelum,Sesudah,Cluster
1.0,CD355,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.6961402970506281,TELKOMSEL,XL,OFF,ON,1
2.0,BT322,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,1.473005092387676,TELKOMSEL,XL,OFF,ON,1
3.0,DK70,GHGD 250,2022-11-09 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
4.0,TP13B,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
5.0,PS178,GHGD 250,2022-11-09 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,1.473005092387676,TELKOMSEL,XL,OFF,ON,1
6.0,E72N,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,1.473005092387676,TELKOMSEL,XL,OFF,ON,0
7.0,GD58C,GHGD 500,2022-11-10 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
8.0,JR103,GHGD 250,2022-11-10 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
9.0,BT65,GHGD 500,2022-11-10 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
10.0,B248,GHGD 500,2022-11-10 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
11.0,E35E,Unknown,2022-11-10 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
12.0,CB28,GHGD 250,2022-11-10 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
13.0,GH0122/CN19,Unknown,2022-11-10 00:00:00,-1.5943140042046955,-2.388557614661565,MENAIKAN MCB,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
14.0,TB28 ,Unknown,2022-11-11 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,1.473005092387676,TELKOMSEL,-,OFF,ON,1
15.0,GD58B,GHGD 250,2022-11-11 00:00:00,0.2709438125123148,0.1974798518873197,PERGANTIAN PERANGKAT ,0.3375279767066679,1.473005092387676,TELKOMSEL,-,OFF,ON,0
16.0,KJ213 ,Unknown,2022-11-11 00:00:00,0.2709438125123148,0.1974798518873197,PERGANTIAN PERANGKAT ,-1.3998199404714229,-0.967283470730416,TELKOMSEL,-,OFF,ON,1
17.0,PG189,GHGD 250,2022-11-11 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
18.0,KB149P ,Unknown,2022-11-11 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
19.0,D102C,GHGD 500,2022-11-11 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,1
20.0,JR103,GHGD 250,2022-11-13 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,-,OFF,ON,0
21.0,SP111A,GHGD 250,2022-11-13 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,-1.3998199404714229,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
22.0,TP13B,GHGD 500,2022-11-13 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,-0.5311459818823774,-0.967283470730416,TELKOMSEL,XL,OFF,ON,2
23.0,PK74,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,1.2062019352957132,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
24.0,CB5,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
25.0,E124,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.1974798518873197,RESTART PERANGKAT,0.3375279767066679,-0.967283470730416,TELKOMSEL,XL,OFF,ON,0
