NO,NAMA GARDU,SITE,Tanggal pekerjaan,Jenis Gangguan,Penyebab,SOLUSI,ZONA,Merk Modem,Sim Card 1,Sim Card 2,Sebelum,Sesudah
1.0,CD355,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-1.3998199404714227,-0.6961402970506281,TELKOMSEL,XL,OFF,ON
2.0,BT322,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-1.3998199404714227,1.4730050923876759,TELKOMSEL,XL,OFF,ON
3.0,DK70,GHGD 250,2022-11-09 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-1.3998199404714227,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
4.0,TP13B,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-0.5311459818823774,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
5.0,PS178,GHGD 250,2022-11-09 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-0.5311459818823774,1.4730050923876759,TELKOMSEL,XL,OFF,ON
6.0,E72N,GHGD 500,2022-11-09 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,1.2062019352957132,1.4730050923876759,TELKOMSEL,XL,OFF,ON
7.0,GD58C,GHGD 500,2022-11-10 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
8.0,JR103,GHGD 250,2022-11-10 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
9.0,BT65,GHGD 500,2022-11-10 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-1.3998199404714227,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
10.0,B248,GHGD 500,2022-11-10 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,1.2062019352957132,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
11.0,E35E,Unknown,2022-11-10 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-0.5311459818823774,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
12.0,CB28,GHGD 250,2022-11-10 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
13.0,GH0122/CN19,Unknown,2022-11-10 00:00:00,-1.5943140042046955,-2.3885576146615652,MENAIKAN MCB,-1.3998199404714227,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
14.0,TB28 ,Unknown,2022-11-11 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-0.5311459818823774,1.4730050923876759,TELKOMSEL,-,OFF,ON
15.0,GD58B,GHGD 250,2022-11-11 00:00:00,0.2709438125123148,0.19747985188731979,PERGANTIAN PERANGKAT ,0.33752797670666795,1.4730050923876759,TELKOMSEL,-,OFF,ON
16.0,KJ213 ,Unknown,2022-11-11 00:00:00,0.2709438125123148,0.19747985188731979,PERGANTIAN PERANGKAT ,-1.3998199404714227,-0.9672834707304161,TELKOMSEL,-,OFF,ON
17.0,PG189,GHGD 250,2022-11-11 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-0.5311459818823774,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
18.0,KB149P ,Unknown,2022-11-11 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
19.0,D102C,GHGD 500,2022-11-11 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-0.5311459818823774,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
20.0,JR103,GHGD 250,2022-11-13 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,-,OFF,ON
21.0,SP111A,GHGD 250,2022-11-13 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,-1.3998199404714227,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
22.0,TP13B,GHGD 500,2022-11-13 00:00:00,-3.4595718209217057,-1.957551370236751,TEST ASE 2000,-0.5311459818823774,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
23.0,PK74,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,1.2062019352957132,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
24.0,CB5,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
25.0,E124,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
26.0,PM75,GHGD 250,2022-11-14 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
27.0,TD128,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-1.3998199404714227,-0.6961402970506281,TELKOMSEL,XL,OFF,ON
28.0,CP151,GHGD 500,2022-11-14 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-1.3998199404714227,1.4730050923876759,TELKOMSEL,XL,OFF,ON
29.0,SD222,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,-1.526545125811937,PEMASANGAN PERANGKAT,1.2062019352957132,1.4730050923876759,TELKOMSEL,XL,OFF,ON
30.0,KB183,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,-0.5311459818823774,-0.6961402970506281,TELKOMSEL,XL,OFF,ON
31.0,MB40,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,1.2062019352957132,-0.9672834707304161,TELKOMSEL,XL,OFF,ON
32.0,KD57A,GHGD 500,2022-11-15 00:00:00,0.2709438125123148,0.19747985188731979,RESTART PERANGKAT,0.33752797670666795,1.4730050923876759,TELKOMSEL,XL,OFF,ON
33.0,MP23,GHGD 500,2022-11-15 00:00:00,-1.5943140042046955,-2.3885576146615652,MENAIKAN MCB,-0.5311459818823774,1.4730050923876759,TELKOMSEL,XL,OFF,ON
